TaskID,Title,NumReports,NumEdges,FirstSeen,LastUpdated,StartTime,EndTime
F456337ACA386FB0,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,2642370804749696,2642370826662634
A1993F93FDC205C3,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,474258937675587,474258951655983
843450A946F12651,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4935089243749887,4935089264524404
5FE532D9C4518060,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128773010197707,3128773037138094
6A4D95ACB9E37CE5,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128578459931961,3128578474771435
4FB55CA7ADC0F0E2,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,536864224275798,536864246792398
3C88BA7A70D5CB33,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,2767551938773849,2767551956493475
FFDBEA7C385363B3,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128581784385650,3128581802387836
C241C94A1F44FCB9,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128326424382292,3128326442013230
117E57AAA2E7E72B,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128610253998114,3128610272493192
2A4A0237E27F4B47,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,536821812719760,536821830485105
8D04FB8D674A3D2D,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128586077659490,3128586095846896
1C978F11F8C2D867,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,535121908426011,535121921459298
4052A1D445D831F9,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,1220221517041461,1220221533096229
3C9716EEF58C5C2F,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,3128520840212475,3128520859185649
A94A7CCFB83DDCED,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,537088313768298,537088330459755
A587DC8892AF66B8,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4934400740191880,4934400762517305
033FA772298AA748,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,97463195599565,97463211487306
2B46A4C6A80DCB2A,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,2764209257113704,2764209269223631
A6B1B12AEF7BB0B8,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4934925898875112,4934925919481192
817633A3DA74BC80,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4934561917979706,4934561932037495
13D3DC7FE7B1FEFA,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,97872003139902,97872031064994
BB1A63084AD05C48,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4934392769897230,4934392787501167
3C12487C3FE39DFF,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4932442086032623,4932442106746429
D10A6B6BC45ECFF6,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4934382931560406,4934382944058250
3C8E205BBF833E19,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4932270808327376,4932270829706934
0D486BD36564209E,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4895324666284543,4895324683385156
1218BF26E5061802,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4898842646919076,4898842670023757
68E7849F8550E946,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4935189948388726,4935189966784929
42504D93234D447F,fs -mkdir,5,4,2013-11-14 02:03:03,2013-11-14 02:03:03,4933960914050863,4933960929828709
B0335554BD2DEF6B,fs -copyFromLocal,167,75,2013-11-14 02:03:13,2013-11-14 02:03:34,3128782965769771,3128803855410521
D1ECA9B2FB3CE6E8,fs -copyFromLocal,103,47,2013-11-14 02:03:20,2013-11-14 02:03:43,3128343322370645,3128366404206653
9420A57093D71B4D,fs -chmod,7,5,2013-11-14 02:03:35,2013-11-14 02:03:36,3128805558089664,3128806271536718
AD7B610E8039553A,fs -mv,5,4,2013-11-14 02:03:34,2013-11-14 02:03:34,3128804598634786,3128804616234381
6603BBC0970BFF97,fs -chown,7,5,2013-11-14 02:03:37,2013-11-14 02:03:37,3128807148289871,3128807169502945
6A794CDE8368D991,fs -ls,5,4,2013-11-14 02:03:38,2013-11-14 02:03:38,3128808020765204,3128808039073279
5D776C1AC672C9EB,fs -count,5,4,2013-11-14 02:03:39,2013-11-14 02:03:39,3128808902967909,3128808919250068
CD7C566D29973A03,fs -mv,5,4,2013-11-14 02:03:44,2013-11-14 02:03:44,3128367247557037,3128367263692292
5017F86B325B0F29,fs -chmod,7,5,2013-11-14 02:03:45,2013-11-14 02:03:45,3128368113505318,3128368135060801
62C68CDEDD0FC9E2,fs -chown,7,5,2013-11-14 02:03:46,2013-11-14 02:03:46,3128368992139098,3128369012087135
92760894FB7027A6,fs -ls,5,4,2013-11-14 02:03:46,2013-11-14 02:03:46,3128369875949130,3128369893280093
BC477A14EBE433F2,fs -count,5,4,2013-11-14 02:03:47,2013-11-14 02:03:47,3128370750539586,3128370766592804
107ADC9685250C29,fs -copyFromLocal,55,26,2013-11-14 02:03:51,2013-11-14 02:03:56,474306870739634,474311882944767
4DD7F2D2E2E09CEC,fs -mv,5,4,2013-11-14 02:03:57,2013-11-14 02:03:57,474312822187674,474312841976409
55E1D2BFDCB21D9B,fs -chmod,7,5,2013-11-14 02:03:58,2013-11-14 02:03:58,474313638934949,474313662421337
E7886971FCDD3CD1,fs -chown,7,5,2013-11-14 02:03:59,2013-11-14 02:03:59,474314558014623,474314578303930
9B47C37E6E004CA5,fs -ls,5,4,2013-11-14 02:04:00,2013-11-14 02:04:00,474315506709329,474315525328863
3B2C23BEC3A1A35F,fs -count,5,4,2013-11-14 02:04:00,2013-11-14 02:04:00,474316435022940,474316451958480
87C1EA183EC54385,fs -copyFromLocal,295,131,2013-11-14 02:04:08,2013-11-14 02:04:39,3128585766979762,3128616473467960
D81CE1D367643B3B,fs -copyToLocal,121,47,2013-11-14 02:04:29,2013-11-14 02:04:37,3128858836685994,3128867048276763
9A496F9E900467A4,fs -rm,7,5,2013-11-14 02:04:38,2013-11-14 02:04:38,3128868122449372,3128868142949625
4D99467F32707945,fs -rmr,7,5,2013-11-14 02:04:39,2013-11-14 02:04:39,3128869042264728,3128869059682497
4657251B9C83A876,fs -mv,5,4,2013-11-14 02:04:40,2013-11-14 02:04:40,3128617423108359,3128617439267290
B362F598079536C9,fs -chmod,7,5,2013-11-14 02:04:40,2013-11-14 02:04:41,3128618236723605,3128618351751454
DDB5E6F00F3EE630,fs -mkdir,5,4,2013-11-14 02:04:40,2013-11-14 02:04:40,3128870054380310,3128870066264502
EC82E598678274EE,fs -chown,7,5,2013-11-14 02:04:41,2013-11-14 02:04:41,3128619272292287,3128619293176660
B023D23C1A22B53E,fs -ls,5,4,2013-11-14 02:04:42,2013-11-14 02:04:42,3128620199169626,3128620222419740
C16660522BC3BAA5,fs -count,5,4,2013-11-14 02:04:43,2013-11-14 02:04:43,3128621091679394,3128621109119254
