OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,464,27190148482,14983229,2240939636.78423
OP: new BlockReceiver,1390,18015394036,417150,242079926.329294
getFileInfo,67,6388825,324551,1045965.89253733
addBlock,753,65535640,58783,695735.226405483
RPC:getFileInfo,67,32748485,2152774,5399344.16840792
createBlockOutputStream,753,18038210135,12793608,1500666554.10831
OP: connect next Datanode,1119,18014343577,3969882,819400167.855123
RPC:addBlock,753,159906159,1244758,4059061.2626162
RPC:create,67,351473499,2381034,17308712.0746267
create,67,337000005,1331505,14889477.0895521
OP: send block,438,44161605068,628802824,3122788341.04229
writeBlock,1557,44208350048,637863150,3221445784.6462
receiveBlock,1314,44186565485,632904521,3157098663.3309
abandonBlock,315,1808087,10485,253807.501798944
RPC:abandonBlock,315,36024128,825103,2516905.49999997
complete,41,138109625,1032625,11123795.2967479
RPC:complete,41,168297671,1890452,13953443.6768291
