TaskID,FatherTID,FatherStartTime,ChildTID
8427F096BB44BFCD,7F8920BA62AC8647,600657549721611,1377BA58133907F9
8427F096BB44BFCD,8B3A8A1A2E9A0210,600657545528715,7F8920BA62AC8647
8427F096BB44BFCD,7F8920BA62AC8647,600657566628261,4E61C3F18127CE9B
8427F096BB44BFCD,7F8920BA62AC8647,600657579161804,5A0BE86774670FA6
8427F096BB44BFCD,7F8920BA62AC8647,600657580796928,AD8F9E039EDF22C9
8427F096BB44BFCD,7F8920BA62AC8647,600657585136465,82050E6326151295
26AE5453C90A1AE7,D6A32260BA20A1F9,3784478583369278,7683D5A4476B71DC
26AE5453C90A1AE7,D6A32260BA20A1F9,3784478596910714,FBC70A99AC06C0A5
26AE5453C90A1AE7,494880D5F1F59804,3784478579145582,D6A32260BA20A1F9
8427F096BB44BFCD,7F8920BA62AC8647,600657603860129,199B227633F4BA88
8427F096BB44BFCD,199B227633F4BA88,71980337402161,990F5678D6AB6A1B
8427F096BB44BFCD,7F8920BA62AC8647,600658582930422,07A1F56D82B0DD9C
8427F096BB44BFCD,7F8920BA62AC8647,600657603860129,199B227633F4BA88
26AE5453C90A1AE7,D6A32260BA20A1F9,3784478609350017,D908271B36261A24
26AE5453C90A1AE7,D6A32260BA20A1F9,3784478610815144,95F637CF9461E743
26AE5453C90A1AE7,D6A32260BA20A1F9,3784478614778111,C31C1E420DFD3007
8427F096BB44BFCD,7F8920BA62AC8647,600658586620098,CD64320F3046BFDE
8427F096BB44BFCD,CD64320F3046BFDE,1986250262411271,0B3C5E47E1FE5404
8427F096BB44BFCD,7F8920BA62AC8647,600659526677241,C1D0075C8499DE8D
8427F096BB44BFCD,7F8920BA62AC8647,600658586620098,CD64320F3046BFDE
26AE5453C90A1AE7,D6A32260BA20A1F9,3784481630653303,11EF728B3BB1E08F
26AE5453C90A1AE7,11EF728B3BB1E08F,600603600268072,1CD963D63A18FF21
26AE5453C90A1AE7,D6A32260BA20A1F9,3784482581846235,EF20A72A8F998E27
26AE5453C90A1AE7,D6A32260BA20A1F9,3784481630653303,11EF728B3BB1E08F
8427F096BB44BFCD,7F8920BA62AC8647,600665538396216,BEC3E63AD8A1C61B
8427F096BB44BFCD,BEC3E63AD8A1C61B,72116704476138,444B3736D8DEF8D7
8427F096BB44BFCD,7F8920BA62AC8647,600666144239072,D8815D9801373BD4
8427F096BB44BFCD,7F8920BA62AC8647,600665538396216,BEC3E63AD8A1C61B
26AE5453C90A1AE7,D6A32260BA20A1F9,3784485585903041,74EB4FBE3A9E909C
26AE5453C90A1AE7,74EB4FBE3A9E909C,604546645767269,BF67C603BD504444
26AE5453C90A1AE7,D6A32260BA20A1F9,3784486198634383,200B6DB9B03A4AFA
26AE5453C90A1AE7,D6A32260BA20A1F9,3784485585903041,74EB4FBE3A9E909C
26AE5453C90A1AE7,D6A32260BA20A1F9,3784486200635100,3298FF4191919563
26AE5453C90A1AE7,3298FF4191919563,600608158437838,520740D37C96341A
26AE5453C90A1AE7,D6A32260BA20A1F9,3784486816727654,363ADCEB24CD5CB9
26AE5453C90A1AE7,D6A32260BA20A1F9,3784486200635100,3298FF4191919563
79B78E6C94FD0C6E,D81521477B445CD1,3786429095200031,3B38921DE978D575
79B78E6C94FD0C6E,5B5D18DFD61F8DAB,3786429091003459,D81521477B445CD1
79B78E6C94FD0C6E,D81521477B445CD1,3786429104374072,C9BED780C073172D
79B78E6C94FD0C6E,D81521477B445CD1,3786429116229516,6C3EFA2D589251C5
79B78E6C94FD0C6E,D81521477B445CD1,3786429117711494,56C3CE259E7A4FFD
79B78E6C94FD0C6E,D81521477B445CD1,3786429121313900,D7A9F78E161A31B4
79B78E6C94FD0C6E,D81521477B445CD1,3786432161206946,60F30500EDEF2FD4
79B78E6C94FD0C6E,60F30500EDEF2FD4,600613529731017,D4AEBB6905D2D715
79B78E6C94FD0C6E,D81521477B445CD1,3786433170386327,66D1D5A44EDC48F4
79B78E6C94FD0C6E,D81521477B445CD1,3786432161206946,60F30500EDEF2FD4
79B78E6C94FD0C6E,D81521477B445CD1,3786433173159377,69477F17A74CB958
79B78E6C94FD0C6E,69477F17A74CB958,1497188035080104,852BB0EEBCDD487B
79B78E6C94FD0C6E,D81521477B445CD1,3786433922671841,BF9EFBC9FADE9D09
79B78E6C94FD0C6E,D81521477B445CD1,3786433173159377,69477F17A74CB958
26AE5453C90A1AE7,D6A32260BA20A1F9,3784492823748264,B11FF54AA975C42B
26AE5453C90A1AE7,B11FF54AA975C42B,1497188284837487,2E2C496A0AA41C19
26AE5453C90A1AE7,D6A32260BA20A1F9,3784493988688648,030B0A2587589CF3
26AE5453C90A1AE7,D6A32260BA20A1F9,3784492823748264,B11FF54AA975C42B
8427F096BB44BFCD,7F8920BA62AC8647,600675153407720,19B42F05DBF61619
79B78E6C94FD0C6E,68AFC59AF5594740,512872687938139,6837C62BA758F812
79B78E6C94FD0C6E,D81521477B445CD1,3786433926051410,68AFC59AF5594740
79B78E6C94FD0C6E,D81521477B445CD1,3786436580983541,99262D27E04F1905
79B78E6C94FD0C6E,D81521477B445CD1,3786433926051410,68AFC59AF5594740
5820D139F569E0FC,4549E880ABEF8CFE,3747377930560681,8B557F2287EF42D4
5820D139F569E0FC,F88E97C87C73E82E,3747377926405367,4549E880ABEF8CFE
5820D139F569E0FC,4549E880ABEF8CFE,3747377939475347,E3174ADD80715CCC
5820D139F569E0FC,4549E880ABEF8CFE,3747377951744394,4744299B28D60C59
5820D139F569E0FC,4549E880ABEF8CFE,3747377953339981,07864B516A709BCB
5820D139F569E0FC,4549E880ABEF8CFE,3747377956891309,693003A7768E58EC
79B78E6C94FD0C6E,4B67E54E7F5A9E19,76159021060387,FAAB575FDA6BD37D
79B78E6C94FD0C6E,D81521477B445CD1,3786436584070134,4B67E54E7F5A9E19
79B78E6C94FD0C6E,D81521477B445CD1,3786438284999819,6ECC91602D7BBD8F
