OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,53,5977851,448243,1076433.23144658
addBlock,468,1527497,302632,561433.405484329
RPC:getFileInfo,53,31413276,22437954,24598403.4169807
RPC:addBlock,468,87147393,21904694,36202205.2811605
RPC:create,53,62107571,22589948,24784877.5911949
create,53,35309887,1378475,3089055.14465411
nextBlockOutputStream,468,1097047983,255593394,373254452.435576
OP: new BlockReceiver,1404,972932389,297926,101992541.464579
createBlockOutputStream,468,1032850689,215000811,323167370.752206
OP: connect next Datanode,936,962903331,84606431,168636029.145085
OP: send block,468,48469016773,17001565144,22458385629.435
writeBlock,1404,49007170710,17230509085,22841989244.525
receiveBlock,1404,48666783465,16943053658,22577472328.2502
complete,53,14155598,1282707,2815827.30817609
RPC:complete,53,63304390,22709244,39680502.2201259
