TaskID,TID,OpName,StartTime,EndTime,HostAddress,HostName,Agent,Description
697765EE7CFA51CF,F65968A0AF111A9C,getFileInfo,3811104591808406,3811104592347324,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
697765EE7CFA51CF,AB9AEED60A15D153,RPC:getFileInfo,3804649927302156,3804649935549049,10.107.100.136,client025,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
697765EE7CFA51CF,2C3EDE927181A73A,create,3811104611978928,3811104614525838,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
697765EE7CFA51CF,AB9AEED60A15D153,RPC:create,3804649948568864,3804649952957487,10.107.100.136,client025,RPC Client,Success: return(OW[class=void,value=null])
697765EE7CFA51CF,7A530DEDF1CAD38C,addBlock,3811104639793223,3811104640479778,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@5ff16253])
697765EE7CFA51CF,AB9AEED60A15D153,RPC:addBlock,3804649976239113,3804649980853386,10.107.100.136,client025,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@17f7b44f])
697765EE7CFA51CF,6E5A3B6C2EA890FA,OP: new BlockReceiver,531556084690250,531556088632566,10.107.100.60,datanode002,Datanode,Success: return OP_STATUS_SUCCESS
697765EE7CFA51CF,5B1FB3C9B837D268,OP: connect next Datanode,531437703573058,531437721409309,10.107.100.62,datanode003,Datanode,Success: connected to 10.107.100.60:50010
697765EE7CFA51CF,5B1FB3C9B837D268,OP: new BlockReceiver,531437701440323,531437747759296,10.107.100.62,datanode003,Datanode,Success: return OP_STATUS_SUCCESS
697765EE7CFA51CF,A20386852FC80156,OP: connect next Datanode,101292126601012,101292183182707,10.107.100.34,datanode005,Datanode,Success: connected to 10.107.100.62:50010
697765EE7CFA51CF,A20386852FC80156,OP: new BlockReceiver,101292125628082,101292188015243,10.107.100.34,datanode005,Datanode,Success: return OP_STATUS_SUCCESS
697765EE7CFA51CF,AB9AEED60A15D153,createBlockOutputStream,3804649980959798,3804650078493567,10.107.100.136,client025,DFSClient,Success: connected to 10.107.100.34:50010
697765EE7CFA51CF,AB9AEED60A15D153,nextBlockOutputStream,3804649975960873,3804650078750503,10.107.100.136,client025,DFSClient,Success: create blockOutputStream for next block=blk_-5100146192513408356_37165 of /user/hadoop/localFile_13_blocks_client025_1836930060
697765EE7CFA51CF,AB9AEED60A15D153,OP: send block,3804650080171759,3804651305239623,10.107.100.136,client025,DFSClient,Success: sent blk_-5100146192513408356_37165
697765EE7CFA51CF,63ACC41A5621919C,receiveBlock,531556129526508,531557355626882,10.107.100.60,datanode002,Datanode,Success: received a block
697765EE7CFA51CF,6E5A3B6C2EA890FA,writeBlock,531556084654386,531557355759791,10.107.100.60,datanode002,Datanode,Success:
697765EE7CFA51CF,023A63288FE8FC54,receiveBlock,531437758956710,531438989820239,10.107.100.62,datanode003,Datanode,Success: received a block
697765EE7CFA51CF,5B1FB3C9B837D268,writeBlock,531437701361585,531438990059281,10.107.100.62,datanode003,Datanode,Success:
697765EE7CFA51CF,9C2929CA250DE343,receiveBlock,101292190453273,101293426473194,10.107.100.34,datanode005,Datanode,Success: received a block
697765EE7CFA51CF,A20386852FC80156,writeBlock,101292125606032,101293426652567,10.107.100.34,datanode005,Datanode,Success:
697765EE7CFA51CF,4AA91D94C52DD3FC,addBlock,3811105981212330,3811105981855315,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@606e685a])
697765EE7CFA51CF,AB9AEED60A15D153,RPC:addBlock,3804651317536803,3804651320118058,10.107.100.136,client025,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@678caeb6])
697765EE7CFA51CF,A70C1602BB62530E,OP: new BlockReceiver,531557419119993,531557420322809,10.107.100.60,datanode002,Datanode,Success: return OP_STATUS_SUCCESS
697765EE7CFA51CF,991BFA4C63281F46,OP: connect next Datanode,795829870807817,795829881204059,10.107.100.58,datanode001,Datanode,Success: connected to 10.107.100.60:50010
697765EE7CFA51CF,991BFA4C63281F46,OP: new BlockReceiver,795829852400182,795829909251694,10.107.100.58,datanode001,Datanode,Success: return OP_STATUS_SUCCESS
