OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,2989,8203953236,15462451,112150330.994278
OP: new BlockReceiver,8970,8180892086,0,43025564.3748711
getFileInfo,1394,6607970,0,277364.13516887
addBlock,2990,1132731029,86266,2204387.99588312
RPC:getFileInfo,1393,27415674,670016,4197619.20211995
createBlockOutputStream,2989,8196340722,13635075,103184324.656649
OP: connect next Datanode,5980,8179751201,3673528,43700431.699948
RPC:addBlock,2989,1134962166,1027001,6889879.28063188
RPC:create,294,598551586,2344595,32435440.9912132
create,294,596317372,1251778,29050603.4855445
OP: send block,2989,117353330665,617312626,11123350802.0806
writeBlock,8969,117434481625,634350791,11312604692.2721
receiveBlock,8969,117377171198,625081593,11250505113.1077
RPC:complete,294,650709117,1679647,29434956.8356009
complete,294,647072232,841470,25410823.5124717
getBlockLocations,400,6714400,0,339955.617500002
RPC:getBlockLocations,400,50626234,1773507,8393561.79499997
newBlockReader,2757,2559714860,2695621,15624018.6841035
blockSeekTo,2757,2561360465,4675608,22829957.4188879
OP: new blockSender,2757,2555278290,78999,5532943.46434232
chooseDataNode,2756,9903915,175551,304763.407172221
OP: try new BlockReader,2757,2560803642,4173023,21540669.3660854
bestNode,2757,2657415,0,24947.2078436724
sendBlock,2756,49547964354,380569484,1947301863.06901
OP: receive block,2757,49571400808,383230956,2010462353.0281
checksumOk,2757,6718019,135254,366866.040964098
verifiedByClient,2744,5280353044,0,32092744.5458105
readBlock,2756,49575395122,385850915,2061609291.85497
