TaskID,FatherTID,FatherStartTime,ChildTID
7118473C905D69B1,DBA56D913A70CD89,406318307955210,DB7FD778540CDC82
7118473C905D69B1,50A2E3D4A7497CDA,406318300035352,DBA56D913A70CD89
7118473C905D69B1,DBA56D913A70CD89,406318330970743,7151F72D8DC57117
7118473C905D69B1,DBA56D913A70CD89,406318358318481,C031149C64A4561C
7118473C905D69B1,8A7CC7FEF8C4CE4A,404010112023590,2DF1817B295DAE74
7118473C905D69B1,6B731AD3E241048C,404010075172659,83377C2FD57756F5
7118473C905D69B1,9A99EC39C7D6A71C,406175718428156,8A7CC7FEF8C4CE4A
7118473C905D69B1,4E8CDCB45D316C1B,406175676642775,6B731AD3E241048C
7118473C905D69B1,DBA56D913A70CD89,406318449510574,9A99EC39C7D6A71C
7118473C905D69B1,DBA56D913A70CD89,406318363756022,4E8CDCB45D316C1B
7118473C905D69B1,DBA56D913A70CD89,406322048023797,5E3C8F234F0310E6
7118473C905D69B1,554F1547BE2C699A,4804484143384775,F89DE87BC4C97BDE
7118473C905D69B1,87168F885E4A3CFF,4804484073934605,34610EBF827B87D0
7118473C905D69B1,85275B8BA1010003,1089799241614330,554F1547BE2C699A
7118473C905D69B1,D7C135EE0B9128ED,1089799163693264,87168F885E4A3CFF
7118473C905D69B1,DBA56D913A70CD89,406322141589388,85275B8BA1010003
7118473C905D69B1,DBA56D913A70CD89,406322051899127,D7C135EE0B9128ED
7118473C905D69B1,DBA56D913A70CD89,406323433338457,32A2D6173A747861
7118473C905D69B1,D059C9644769833E,46019441487616,346B1E10DD18DB9D
7118473C905D69B1,E89D05F97ED15FBD,403651611536676,D059C9644769833E
7118473C905D69B1,02DA1001CBDC96F5,4762996016996221,E89D05F97ED15FBD
7118473C905D69B1,DBA56D913A70CD89,406323583412304,C34B96D4CAF96E6E
7118473C905D69B1,DBA56D913A70CD89,406323439730834,02DA1001CBDC96F5
7118473C905D69B1,DBA56D913A70CD89,406323585200825,EB34C112C1085CFC
7118473C905D69B1,EE64A656CDA1DDDA,591883933902236,1F0524DF878ECBFC
7118473C905D69B1,58CA530211FBFA9A,591883908803836,38FA0A0CF1A6DB39
7118473C905D69B1,A372916E7B56E34C,406568870431198,EE64A656CDA1DDDA
7118473C905D69B1,6A55B3AF2863B7EF,406568838291455,58CA530211FBFA9A
7118473C905D69B1,DBA56D913A70CD89,406323629812283,A372916E7B56E34C
7118473C905D69B1,DBA56D913A70CD89,406323588048051,6A55B3AF2863B7EF
7118473C905D69B1,DBA56D913A70CD89,406325576724286,9FE89BB04F8A5491
7118473C905D69B1,7E84F9745B937076,4809924214414155,C6D6F94C42CF8FB9
7118473C905D69B1,CA57238C74AF20D1,4809924190871898,0367B1615EC61499
7118473C905D69B1,979AC2DC660AE3FC,571741883668331,7E84F9745B937076
7118473C905D69B1,D6138FDDC960578F,571741854256779,CA57238C74AF20D1
7118473C905D69B1,DBA56D913A70CD89,406325623245474,979AC2DC660AE3FC
7118473C905D69B1,DBA56D913A70CD89,406325582826845,D6138FDDC960578F
7118473C905D69B1,DBA56D913A70CD89,406327348963892,AA2957DCC9ACBF44
839F6CA734E07426,0284218003F9254E,4802174280822569,24B14B26BAF25394
839F6CA734E07426,099EBBD15EBFFA6E,4802174271783067,0284218003F9254E
839F6CA734E07426,0284218003F9254E,4802174298025812,D11C2E589E8DB996
839F6CA734E07426,0284218003F9254E,4802174323545546,F3D6D61DA94459B4
7118473C905D69B1,C72A2A7E44638A24,2998599296651301,199E6488C692E7A1
7118473C905D69B1,81771E41DD7FB769,2998599265227206,138193E698E7C581
7118473C905D69B1,7BCF8AB9B2C46AF6,406234233163066,C72A2A7E44638A24
7118473C905D69B1,FF2F4C8661599F08,406234200115341,81771E41DD7FB769
7118473C905D69B1,DBA56D913A70CD89,406329842544938,AC8AACB8A4791D3D
7118473C905D69B1,DBA56D913A70CD89,406327402960272,7BCF8AB9B2C46AF6
7118473C905D69B1,DBA56D913A70CD89,406327352202998,FF2F4C8661599F08
839F6CA734E07426,40FEE0883A7CFF0F,3004209404128127,9DA75F7CCFD02C7D
839F6CA734E07426,F52DF04BEBEB07DF,3004209365612851,E5B3442B367DCC7B
839F6CA734E07426,F8CDC51AB3239F99,406728908011782,40FEE0883A7CFF0F
