TaskID,TID,OpName,StartTime,EndTime,HostAddress,HostName,Agent,Description
6F7FBBDB2550E813,57048A8941DC74E3,getFileInfo,3352161892185342,3352161892811335,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
6F7FBBDB2550E813,F06D56A070C8BC49,RPC:getFileInfo,1540078358427567,1540078366485725,10.107.100.113,client002,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
6F7FBBDB2550E813,62F67ABAC9C22944,create,3352161911695874,3352161913671306,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
6F7FBBDB2550E813,F06D56A070C8BC49,RPC:create,1540078378865597,1540078382565489,10.107.100.113,client002,RPC Client,Success: return(OW[class=void,value=null])
6F7FBBDB2550E813,F7E20887E9C8A281,addBlock,3352161943450552,3352161944384747,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@2ffd3e30])
6F7FBBDB2550E813,F06D56A070C8BC49,RPC:addBlock,1540078410443549,1540078415307163,10.107.100.113,client002,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@75ebad4])
6F7FBBDB2550E813,E9A401FE2F258835,OP: new BlockReceiver,3832707821267332,3832707824810530,10.107.100.100,datanode040,Datanode,Success: return OP_STATUS_SUCCESS
6F7FBBDB2550E813,04141F9C8ED413C0,OP: connect next Datanode,1175486970486117,1175486981561152,10.107.100.11,datanode048,Datanode,Success: connected to 10.107.100.100:50010
6F7FBBDB2550E813,04141F9C8ED413C0,OP: new BlockReceiver,1175486966663149,1175486985958012,10.107.100.11,datanode048,Datanode,Success: return OP_STATUS_SUCCESS
6F7FBBDB2550E813,F06D56A070C8BC49,createBlockOutputStream,1540078415413530,1540078492612169,10.107.100.113,client002,DFSClient,Success: connected to 10.107.100.32:50010
6F7FBBDB2550E813,F06D56A070C8BC49,nextBlockOutputStream,1540078410212090,1540078492850465,10.107.100.113,client002,DFSClient,Success: create blockOutputStream for next block=blk_2594064120880537028_1392 of /user/hadoop/localFile_12_blocks_client002_2786222670
6F7FBBDB2550E813,5A43D3799BAB9E82,OP: connect next Datanode,991422237701233,991422264613683,10.107.100.32,datanode017,Datanode,Success: connected to 10.107.100.11:50010
6F7FBBDB2550E813,5A43D3799BAB9E82,OP: new BlockReceiver,991422231954426,991422270164990,10.107.100.32,datanode017,Datanode,Success: return OP_STATUS_SUCCESS
6F7FBBDB2550E813,F06D56A070C8BC49,OP: send block,1540078494220732,1540079448701797,10.107.100.113,client002,DFSClient,Success: sent blk_2594064120880537028_1392
6F7FBBDB2550E813,A11D17CB97E303F9,receiveBlock,3832707844540452,3832708801118123,10.107.100.100,datanode040,Datanode,Success: received a block
6F7FBBDB2550E813,E9A401FE2F258835,writeBlock,3832707821267332,3832708801459335,10.107.100.100,datanode040,Datanode,Success:
6F7FBBDB2550E813,2E2C05794D998581,receiveBlock,1175486998088271,1175487957373223,10.107.100.11,datanode048,Datanode,Success: received a block
6F7FBBDB2550E813,04141F9C8ED413C0,writeBlock,1175486966641721,1175487957979461,10.107.100.11,datanode048,Datanode,Success:
6F7FBBDB2550E813,1363EB60C693F5A3,receiveBlock,991422272905289,991423238156433,10.107.100.32,datanode017,Datanode,Success: received a block
6F7FBBDB2550E813,5A43D3799BAB9E82,writeBlock,991422231914239,991423238381687,10.107.100.32,datanode017,Datanode,Success:
6F7FBBDB2550E813,24CBCDB5126EDE7E,addBlock,3352162994292194,3352162994760203,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@1afdd9ed])
6F7FBBDB2550E813,F06D56A070C8BC49,RPC:addBlock,1540079461216346,1540079463402494,10.107.100.113,client002,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.LocatedBlock,value=org.apache.hadoop.hdfs.protocol.LocatedBlock@50c94ac])
6F7FBBDB2550E813,314E58CFBD6C6FAC,OP: new BlockReceiver,159831879471411,159831882808512,10.107.100.86,datanode026,Datanode,Success: return OP_STATUS_SUCCESS
6F7FBBDB2550E813,11FF6DE3F3E8FC1D,OP: connect next Datanode,1540622285490563,1540622298865730,10.107.100.76,datanode016,Datanode,Success: connected to 10.107.100.86:50010
6F7FBBDB2550E813,11FF6DE3F3E8FC1D,OP: new BlockReceiver,1540622280144714,1540622303127663,10.107.100.76,datanode016,Datanode,Success: return OP_STATUS_SUCCESS
6F7FBBDB2550E813,F06D56A070C8BC49,createBlockOutputStream,1540079463484081,1540079548743321,10.107.100.113,client002,DFSClient,Success: connected to 10.107.100.89:50010
6F7FBBDB2550E813,F06D56A070C8BC49,nextBlockOutputStream,1540079460976995,1540079548856224,10.107.100.113,client002,DFSClient,Success: create blockOutputStream for next block=blk_5451606552758707593_1392 of /user/hadoop/localFile_12_blocks_client002_2786222670
6F7FBBDB2550E813,32A7C0A7641EBAC2,OP: connect next Datanode,1545521164940281,1545521236698160,10.107.100.89,datanode029,Datanode,Success: connected to 10.107.100.76:50010
